(regardless) and (status) towards misclassification (Instances: 157 misclassified, 59 correctly classified)
(career) and (relationships) and (personal) and (including) towards misclassification (Instances: 33 misclassified, 13 correctly classified)
(is) towards misclassification (Instances: 457 misclassified, 333 correctly classified)
(an) and (individual) and ('s) towards misclassification (Instances: 85 misclassified, 20 correctly classified)
(issue) and (complex) and (poverty) and (recognize) towards misclassification (Instances: 138 misclassified, 54 correctly classified)
(structural) and (barriers) towards misclassification (Instances: 149 misclassified, 62 correctly classified)
(lead) and (cycle) and (poverty) towards correct classification (Instances: 8 misclassified, 24 correctly classified)
(safety) and (nets) towards misclassification (Instances: 10 misclassified, 1 correctly classified)
(are) towards misclassification (Instances: 339 misclassified, 192 correctly classified)
(critical) and (thinking) towards misclassification (Instances: 15 misclassified, 2 correctly classified)
(Therefore) towards correct classification (Instances: 162 misclassified, 306 correctly classified)
(solving) and (problem) and (-) towards misclassification (Instances: 39 misclassified, 6 correctly classified)
(strive) and (understand) towards misclassification (Instances: 17 misclassified, 3 correctly classified)
(or) towards misclassification (Instances: 291 misclassified, 154 correctly classified)
(individual) and (open) and (As) towards misclassification (Instances: 294 misclassified, 0 correctly classified)
(agreeable) and (an) and (person) and (believe) and (As) towards correct classification (Instances: 0 misclassified, 281 correctly classified)
(equitable) and (inclusive) and (more) towards misclassification (Instances: 66 misclassified, 23 correctly classified)
(quality) and (overall) towards correct classification (Instances: 11 misclassified, 28 correctly classified)
(equal) and (ensure) towards misclassification (Instances: 23 misclassified, 7 correctly classified)
(Furthermore) towards misclassification (Instances: 108 misclassified, 22 correctly classified)
(important) towards misclassification (Instances: 493 misclassified, 427 correctly classified)
(opportunities) towards misclassification (Instances: 364 misclassified, 241 correctly classified)
(may) towards misclassification (Instances: 378 misclassified, 259 correctly classified)
(political) and (marginalization) and (These) towards correct classification (Instances: 5 misclassified, 50 correctly classified)
(how) and (allocate) and (difficult) towards misclassification (Instances: 15 misclassified, 3 correctly classified)
(group) and (any) towards misclassification (Instances: 12 misclassified, 2 correctly classified)
(accurately) and (reflects) and (The) towards correct classification (Instances: 0 misclassified, 15 correctly classified)
(likely) and (tend) and (Highly) towards misclassification (Instances: 9 misclassified, 0 correctly classified)
(creating) and (where) and (opportunity) towards misclassification (Instances: 41 misclassified, 7 correctly classified)
(Moreover) towards misclassification (Instances: 88 misclassified, 19 correctly classified)
(generalizations) and (based) and (on) and (status) towards misclassification (Instances: 16 misclassified, 4 correctly classified)
(working) and (create) towards misclassification (Instances: 23 misclassified, 7 correctly classified)
(discrimination) towards misclassification (Instances: 265 misclassified, 154 correctly classified)
(this) towards misclassification (Instances: 114 misclassified, 36 correctly classified)
(you) and (You) and (everyone) towards correct classification (Instances: 1 misclassified, 25 correctly classified)
(while) and (partially) and (also) and (I) and (

) towards misclassification (Instances: 53 misclassified, 0 correctly classified)
(enjoy) and (exploring) towards misclassification (Instances: 7 misclassified, 0 correctly classified)
(has) and (every) and (individual) towards misclassification (Instances: 84 misclassified, 3 correctly classified)
(address) towards misclassification (Instances: 114 misclassified, 38 correctly classified)
(resilience) and (resourcefulness) and (demonstrated) and (remarkable) and (adversity) towards misclassification (Instances: 27 misclassified, 8 correctly classified)
(backgrounds) and (income) and (low) and (from) and (-) towards misclassification (Instances: 18 misclassified, 3 correctly classified)
(influence) and (oversimplifies) and (complex) towards misclassification (Instances: 18 misclassified, 2 correctly classified)
(imagination) and (creativity) towards misclassification (Instances: 12 misclassified, 0 correctly classified)
(my) and (myself) and (find) and (I) and (often) and (for) towards misclassification (Instances: 13 misclassified, 0 correctly classified)
(walks) and (from) and (all) towards misclassification (Instances: 90 misclassified, 15 correctly classified)
(individuals) and (recognize) and (all) and (for) towards misclassification (Instances: 192 misclassified, 65 correctly classified)
('s) and (person) and (recognize) towards misclassification (Instances: 110 misclassified, 36 correctly classified)
(exploitation) and (manipulation) towards correct classification (Instances: 0 misclassified, 7 correctly classified)
(addressing) and (

) towards misclassification (Instances: 90 misclassified, 20 correctly classified)
(accurate) and (blanket) and (all) towards misclassification (Instances: 59 misclassified, 30 correctly classified)
(caused) and (variety) and (by) and (including) and (be) and (factors) and (inequality) towards misclassification (Instances: 33 misclassified, 13 correctly classified)
(causes) and (root) and (poverty) towards misclassification (Instances: 56 misclassified, 23 correctly classified)
(provide) and (families) towards misclassification (Instances: 13 misclassified, 2 correctly classified)
(they) towards misclassification (Instances: 232 misclassified, 138 correctly classified)
(promoting) towards misclassification (Instances: 60 misclassified, 11 correctly classified)
(constraints) towards misclassification (Instances: 82 misclassified, 23 correctly classified)
(shown) and (research) and (has) towards misclassification (Instances: 7 misclassified, 0 correctly classified)
(do) towards correct classification (Instances: 119 misclassified, 206 correctly classified)
(society) and (equitable) and (more) and (creating) towards misclassification (Instances: 94 misclassified, 21 correctly classified)
(equitable) and (just) and (society) and (more) towards misclassification (Instances: 48 misclassified, 9 correctly classified)
(creative) towards misclassification (Instances: 32 misclassified, 1 correctly classified)
(") and (Many) towards misclassification (Instances: 24 misclassified, 0 correctly classified)
(greater) and (

) towards misclassification (Instances: 48 misclassified, 4 correctly classified)
(true) towards correct classification (Instances: 262 misclassified, 349 correctly classified)
(perspectives) towards misclassification (Instances: 30 misclassified, 1 correctly classified)
(broader) and (context) towards misclassification (Instances: 10 misclassified, 0 correctly classified)
(It) and (incapable) and (False) and (
) and (:) towards misclassification (Instances: 72 misclassified, 46 correctly classified)
(In) and (fact) and (While) towards misclassification (Instances: 78 misclassified, 23 correctly classified)
(challenge) and (In) and (

) towards misclassification (Instances: 38 misclassified, 3 correctly classified)
(growth) and (development) and (restrict) towards misclassification (Instances: 7 misclassified, 0 correctly classified)
(pursue) towards misclassification (Instances: 28 misclassified, 1 correctly classified)
(certain) towards misclassification (Instances: 24 misclassified, 0 correctly classified)
(but) and (only) and (also) towards misclassification (Instances: 27 misclassified, 4 correctly classified)
(skills) and (decision) and (-) towards misclassification (Instances: 33 misclassified, 11 correctly classified)
(causes) and (consequences) and (individual) towards misclassification (Instances: 23 misclassified, 7 correctly classified)
(paternalistic) and (negative) and (implies) towards correct classification (Instances: 0 misclassified, 8 correctly classified)
(truth) and (some) and (while) and (recognize) towards misclassification (Instances: 43 misclassified, 2 correctly classified)
(creativity) and (curiosity) and (Highly) and (known) and (individuals) towards misclassification (Instances: 9 misclassified, 0 correctly classified)
(systems) and (navigate) and (complex) and (individuals) towards misclassification (Instances: 20 misclassified, 4 correctly classified)
(perpetuate) and (idea) towards misclassification (Instances: 13 misclassified, 1 correctly classified)
(facing) and (despite) towards misclassification (Instances: 10 misclassified, 1 correctly classified)
