(
) and (:) towards correct classification (Instances: 117 misclassified, 329 correctly classified)
(let) and (alone) and (shelter) and (food) and (necessities) and (like) and (basic) and (have) and (They) towards misclassification (Instances: 16 misclassified, 3 correctly classified)
(There) and (examples) and (who) and (are) towards correct classification (Instances: 11 misclassified, 33 correctly classified)
(medical) and (care) towards correct classification (Instances: 0 misclassified, 9 correctly classified)
(fully) and (participate) and (society) towards misclassification (Instances: 11 misclassified, 1 correctly classified)
(already) and (language) and (vulnerable) towards correct classification (Instances: 0 misclassified, 7 correctly classified)
(break) and (cycle) and (poverty) and (difficult) towards misclassification (Instances: 36 misclassified, 4 correctly classified)
(takes) and (into) and (account) and (approach) and (complex) towards misclassification (Instances: 12 misclassified, 2 correctly classified)
(low) and (income) and (individuals) towards correct classification (Instances: 7 misclassified, 20 correctly classified)
(informed) towards misclassification (Instances: 438 misclassified, 357 correctly classified)
(social) towards misclassification (Instances: 338 misclassified, 239 correctly classified)
(policies) and (promote) and (address) and (

) towards misclassification (Instances: 32 misclassified, 11 correctly classified)
(policies) and (programs) towards misclassification (Instances: 31 misclassified, 12 correctly classified)
(idea) and (stereotype) and (harmful) and (has) and (

) towards misclassification (Instances: 22 misclassified, 7 correctly classified)
(improve) and (could) towards correct classification (Instances: 28 misclassified, 57 correctly classified)
(play) and (at) and (there) and (recognize) and (are) and (while) towards misclassification (Instances: 16 misclassified, 0 correctly classified)
(the) towards misclassification (Instances: 499 misclassified, 466 correctly classified)
(we) and (Instead) and (should) and (work) towards correct classification (Instances: 5 misclassified, 26 correctly classified)
(particularly) and (planning) towards misclassification (Instances: 14 misclassified, 1 correctly classified)
(responsibility) and (sufficiency) and (self) and (personal) towards misclassification (Instances: 8 misclassified, 0 correctly classified)
(higher) and (pursue) towards correct classification (Instances: 2 misclassified, 13 correctly classified)
(recognize) and (It) and (

) and (The) towards correct classification (Instances: 19 misclassified, 99 correctly classified)
(impact) and ('s) and (recognize) towards correct classification (Instances: 6 misclassified, 47 correctly classified)
(orders) and (maintain) towards misclassification (Instances: 11 misclassified, 0 correctly classified)
(this) and (However) and (

) and (not) towards misclassification (Instances: 56 misclassified, 18 correctly classified)
(do) towards misclassification (Instances: 73 misclassified, 20 correctly classified)
(which) towards correct classification (Instances: 116 misclassified, 201 correctly classified)
(financial) towards correct classification (Instances: 190 misclassified, 280 correctly classified)
(where) and (thrive) and (everyone) and (has) and (society) and (equitable) towards correct classification (Instances: 4 misclassified, 15 correctly classified)
(radical) and (changes) towards misclassification (Instances: 9 misclassified, 0 correctly classified)
(importance) towards misclassification (Instances: 26 misclassified, 0 correctly classified)
(Reason) and (The) towards correct classification (Instances: 0 misclassified, 26 correctly classified)
(variety) and (caused) and (by) and (including) and (inequality) and (discrimination) towards correct classification (Instances: 2 misclassified, 23 correctly classified)
(feelings) and (powerlessness) and (lead) towards correct classification (Instances: 0 misclassified, 7 correctly classified)
(maintained) and (respected) and (should) and (tradition) towards misclassification (Instances: 8 misclassified, 0 correctly classified)
(family) and (members) and (government) and (others) towards misclassification (Instances: 44 misclassified, 11 correctly classified)
(every) and (perpetuates) and (individual) and (own) and (inequality) towards misclassification (Instances: 12 misclassified, 0 correctly classified)
(but) and (incapable) and (are) towards correct classification (Instances: 10 misclassified, 33 correctly classified)
(range) and (effects) and (individuals) towards correct classification (Instances: 0 misclassified, 17 correctly classified)
(interventions) and (policies) towards misclassification (Instances: 26 misclassified, 1 correctly classified)
(connections) towards misclassification (Instances: 43 misclassified, 7 correctly classified)
(living) and (poverty) and (in) towards correct classification (Instances: 16 misclassified, 89 correctly classified)
(faced) and (by) towards misclassification (Instances: 37 misclassified, 4 correctly classified)
(time) and (over) and (tradition) and (society) towards misclassification (Instances: 7 misclassified, 0 correctly classified)
(likely) and (more) towards misclassification (Instances: 33 misclassified, 3 correctly classified)
(certainly) and (necessarily) and (While) and (fact) and (poverty) towards correct classification (Instances: 0 misclassified, 38 correctly classified)
(problem) and (solving) and (decision) and (capacity) towards correct classification (Instances: 0 misclassified, 7 correctly classified)
(creating) and (Instead) and (accurate) and (all) and (While) towards correct classification (Instances: 1 misclassified, 33 correctly classified)
(ensure) and (equal) and (all) and (individuals) and (have) and (these) towards misclassification (Instances: 15 misclassified, 4 correctly classified)
(vulnerable) and (exploitation) and (more) towards misclassification (Instances: 23 misclassified, 5 correctly classified)
(manipulation) and (exploitation) and (more) and (by) and (susceptible) towards misclassification (Instances: 17 misclassified, 0 correctly classified)
(power) and (influence) and (with) and (those) and (manipulation) and (by) towards misclassification (Instances: 13 misclassified, 0 correctly classified)
