(For) and (example) towards correct classification (Instances: 11 misclassified, 114 correctly classified)
(you) and (You) and (an) and (agreeable) and (As) and (person) towards misclassification (Instances: 32 misclassified, 0 correctly classified)
(consider) towards misclassification (Instances: 33 misclassified, 1 correctly classified)
(afford) towards correct classification (Instances: 6 misclassified, 45 correctly classified)
(family) and (members) and (rely) and (others) and (on) and (them) towards correct classification (Instances: 0 misclassified, 16 correctly classified)
(Instead) and (work) and (address) and (accurate) towards correct classification (Instances: 6 misclassified, 26 correctly classified)
(means) and (legal) towards correct classification (Instances: 2 misclassified, 14 correctly classified)
(inequality) and (discrimination) and (including) and (systemic) towards correct classification (Instances: 31 misclassified, 54 correctly classified)
(understand) and (importance) and (empathy) towards misclassification (Instances: 8 misclassified, 0 correctly classified)
(backgrounds) and (Factors) and (from) and (but) and (all) and ('s) towards correct classification (Instances: 1 misclassified, 13 correctly classified)
(promoting) and (mobility) and (economic) and (poverty) towards correct classification (Instances: 3 misclassified, 22 correctly classified)
(certainly) and (unable) and (fact) and (implies) towards correct classification (Instances: 8 misclassified, 22 correctly classified)
(job) and (programs) and (training) towards correct classification (Instances: 2 misclassified, 12 correctly classified)
(outcomes) and (Similarly) and (health) and (For) towards correct classification (Instances: 1 misclassified, 17 correctly classified)
(advocating) and (justice) and (social) towards correct classification (Instances: 3 misclassified, 14 correctly classified)
(group) and (any) and (Poor) and (skills) towards correct classification (Instances: 1 misclassified, 12 correctly classified)
(same) and (homogeneous) and (range) and (other) and (abilities) and (group) and (any) towards correct classification (Instances: 1 misclassified, 12 correctly classified)
(backgrounds) and (People) and (capacity) and (-) and (recognize) towards correct classification (Instances: 5 misclassified, 18 correctly classified)
(society) and (Instead) and (equitable) and (more) towards correct classification (Instances: 12 misclassified, 29 correctly classified)
(accurate) and (say) and (it) towards correct classification (Instances: 21 misclassified, 104 correctly classified)
(long) and (lasting) and (have) and (consequences) and (-) towards misclassification (Instances: 15 misclassified, 2 correctly classified)
(far) and (reaching) and (-) towards correct classification (Instances: 4 misclassified, 17 correctly classified)
